bootstrap_index,mean_setting_tv_vs_ideal,raw_energy_hartree,projected_energy_hartree,raw_energy_error_millihartree,projected_energy_error_millihartree,raw_gamma_frobenius_error,projected_gamma_frobenius_error,raw_idempotency_frobenius,one_spin_slater_fidelity,full_rhf_determinant_fidelity
36,0.015511605161138987,-1.9378377180798905,-1.9466550457417109,8.903908376418634,0.0865807145982167,0.012531584141973721,0.010044989562500828,0.007488672395691998,0.9999495495401114,0.9998991016254717
37,0.01964835232348547,-1.9411985381356966,-1.944356207913031,5.543088320612455,2.385418543278117,0.05893860070771586,0.058254323282086684,0.01044870853263694,0.9983033550047998,0.9966095886138394
38,0.015306958821908544,-1.9380100680572994,-1.9455954075845547,8.731558399009742,1.1462188717543675,0.041505710259364,0.03665293421953988,0.019663927945606428,0.9993283668776448,0.9986571848463407
39,0.020575808035345772,-1.9482101258477822,-1.9453937824461265,-1.4684993914730882,1.3478440101826195,0.048958953320330116,0.047336675937446816,0.012374463463116304,0.9988798590715969,0.9977609728588933
40,0.032477298617930465,-1.904802068242107,-1.9453289970585341,41.939558214202144,1.4126293977749782,0.06050020701445475,0.048053130193883,0.036251964084722366,0.9988455804581826,0.9976924936008438
41,0.02074533462667535,-1.9297526381666958,-1.9450152618464343,16.98898828961326,1.726364609874853,0.0559156768167016,0.05524907274273488,0.010138715414193292,0.9984741393461765,0.9969506069430878
42,0.022450202088444997,-1.947312105306956,-1.945909116055774,-0.5704788506468716,0.8325104005351136,0.035373700399301905,0.03380269465932648,0.010876393473941629,0.9994286940238187,0.9988577144381559
43,0.020868116075268624,-1.9519542086655843,-1.9446693512185822,-5.212582209275229,2.072275237726906,0.05289247254307331,0.04881531228706479,0.020173577694598474,0.9988085992263404,0.9976186178884842
44,0.011228866853839545,-1.9499470144019673,-1.9460438382330867,-3.205387945658167,0.6977882232224175,0.03288777455245565,0.028914787152434104,0.015708987491242065,0.9995820099312088,0.9991641945781152
45,0.0162782908096472,-1.9564385489210447,-1.946181496070608,-9.696922464735636,0.5601303857010187,0.03229045046973159,0.028702042466822578,0.014850328826325728,0.9995881077308048,0.9991763851168509
46,0.014754332539288702,-1.9393432144822096,-1.9463761035070022,7.398411974099517,0.36552294930691787,0.02421446530875082,0.02343303222123966,0.00618191353870305,0.9997254559910576,0.9994509873565279
47,0.0161864771324146,-1.9254124916828348,-1.9449324403249488,21.329134773474312,1.8091861313602742,0.04661701512183081,0.04467880901233901,0.01426550416213878,0.9990021045468903,0.9980052048891159
48,0.018015180255881634,-1.9582670225811378,-1.9464706461223906,-11.525396124828724,0.2709803339184802,0.026919441508028722,0.017440912423842592,0.02067937992905006,0.9998479124158087,0.9996958479622507
49,0.027261826283631302,-1.90477620670033,-1.94395611990814,41.96541975597911,2.7855065481690033,0.07747935637787606,0.06999543407601405,0.03520537042838774,0.997551160392392,0.9951083176002078
50,0.0164332950666391,-1.954905770756154,-1.9465302085782403,-8.1641442998448,0.21141787806877588,0.02492738978405541,0.018791443431966495,0.016360547148552205,0.9998234410661224,0.999646913305302
51,0.020376467392992308,-1.9459316424852007,-1.9459823824411104,0.80998397110843,0.7592440151986679,0.044198553412375,0.03871995280059713,0.021460323529714078,0.9992503989765109,0.9985013598547162
52,0.014228894235537779,-1.9469272878349464,-1.9465759668859672,-0.18566137863729182,0.1656595703418695,0.014718422573701245,0.013674676517186688,0.005440453565650588,0.9999065024226393,0.9998130135870756
53,0.016623043692878488,-1.9406121828054779,-1.9458695208579992,6.129443650831234,0.872105598309858,0.03718346584370275,0.03476388261936792,0.013220516101877388,0.9993957951582824,0.9987919553800555
54,0.023248142138096034,-1.9688676276364079,-1.9446002023299227,-22.126001180098775,2.1414241263864042,0.06333422278610512,0.05919805810470877,0.020802015070660915,0.9982477949815486,0.9964986601855239
55,0.01942427364609974,-1.9555576384722666,-1.9453414235175794,-8.816012015957497,1.4002029387296666,0.05507890440977977,0.049665307040153664,0.023369419825917795,0.9987666999137309,0.9975349208565646
