bootstrap_index,mean_setting_tv_vs_ideal,raw_energy_hartree,projected_energy_hartree,raw_energy_error_millihartree,projected_energy_error_millihartree,raw_gamma_frobenius_error,projected_gamma_frobenius_error,raw_idempotency_frobenius,one_spin_slater_fidelity,full_rhf_determinant_fidelity
0,0.01799717285341927,-1.9225045610624567,-1.9454795317793205,24.237065393852397,1.2620946769885677,0.0533355266873226,0.04840661325566608,0.023129220695907542,0.9988286749548089,0.9976587219119792
1,0.033188910688132636,-1.9327132821878592,-1.9446675293355289,14.0283442684499,2.074097120780216,0.059713887675193845,0.057462377636849624,0.017673166672953638,0.9983494891384105,0.9967017024629252
2,0.01758688518304024,-1.937594063583944,-1.9464164727848112,9.147562872365178,0.32515367149787977,0.02650828065290482,0.022919176496908653,0.013224523516936254,0.9997373561474302,0.9994747812766537
3,0.0318364864939063,-1.9238058963359352,-1.943074690024768,22.935730120373865,3.6669364315411457,0.06952863528117934,0.0661762983621498,0.023186851408718605,0.997810995495541,0.9956267827318025
4,0.02061512977276645,-1.9510543705781267,-1.9453016219201358,-4.312744121817591,1.4400045361733227,0.043622937153121155,0.040898528501938175,0.015110300534734578,0.9991637002515585,0.9983280999003863
5,0.021928123166420246,-1.9172019232248998,-1.9443882211447698,29.53970323140931,2.3534053115392695,0.057717837166997264,0.05439271812937168,0.021066056684866295,0.9985208199192694,0.9970438278122501
6,0.02255010661082349,-1.9109531328247351,-1.9456114106762057,35.78849363157399,1.1302157801034163,0.04415069239236234,0.038027582554962004,0.022938886028968347,0.9992769518356386,0.9985544264699252
7,0.02631411794594756,-1.9761160628953733,-1.9444452797410998,-29.374436439064233,2.2963467152092853,0.06615439454382224,0.0536651277439354,0.038329828984747565,0.9985601802545226,0.9971224335899448
8,0.01827214717478439,-1.9229560229449854,-1.9457513319343873,23.78560351132375,0.9902945219217862,0.03760625350615827,0.03444262224641652,0.015514925015932149,0.9994068615557591,0.9988140749247322
9,0.02413902519989524,-1.9212308339536672,-1.946355616597075,25.510792502641877,0.38600985923409326,0.030615249397752745,0.025905537289637445,0.016501001037815807,0.9996644524394669,0.9993290174710991
10,0.03565816668762377,-1.9202711367258336,-1.9448379179255693,26.4704897304755,1.903708530739845,0.06155137955457851,0.058458099256629176,0.020181005524998016,0.9982913603342474,0.9965856401180021
11,0.030938910688132624,-1.9322273358500042,-1.9440025487720114,14.514290606304936,2.7390776842977083,0.06070647142422865,0.057550852014300415,0.01984399758743183,0.998344183170753,0.996691108070878
12,0.033376691163922285,-1.9248247256976898,-1.9418730021095716,21.916900758619295,4.868624346737516,0.08347841389985891,0.07996322056523539,0.02726276226375453,0.99680321799192,0.9936166553990471
13,0.033096386974205486,-1.907872745234117,-1.9396550452231274,38.86888122219201,7.086581233181732,0.09739430533209245,0.09059324568597625,0.037774334464686476,0.9958989125781378,0.9918146440743173
14,0.025137058274866612,-1.9158551656764475,-1.9449997318618617,30.88646077986157,1.7418945944474018,0.05992743582905655,0.04996350889070516,0.03360027717519605,0.9987520450922244,0.9975056475759005
15,0.02927837838634492,-1.9345571447757195,-1.945518869833286,12.18448168058961,1.2227566230231801,0.04175977137204377,0.03980883306776214,0.013415461602196173,0.999207628410032,0.9984158846728005
16,0.018570417410196036,-1.9323337060033017,-1.9455335903757007,14.407920453007428,1.2080360806083767,0.042995461372881925,0.03900049146719019,0.017908520772246955,0.9992394809119141,0.9984795402131115
17,0.030578484997148703,-1.9481439158109881,-1.9433353624095637,-1.4022893546790094,3.4062640467453775,0.06343055094970707,0.06306395972067748,0.006473095414869104,0.9980115245680727,0.9960270031706888
18,0.026692511704163917,-1.9099307622995065,-1.945177769281192,36.810864156802566,1.5638571751170893,0.051824505309566275,0.044742604108396006,0.02692460280579829,0.9989990523927175,0.9979991066815475
19,0.029607174495916513,-1.9267318780037008,-1.9450330449753206,20.009748452608278,1.7085814809885136,0.0519523300218349,0.04552480259347466,0.025470847085442602,0.9989637635935258,0.9979286009729417
20,0.024205266150905853,-1.9376845374733975,-1.9465570724455172,9.057088982911576,0.18455401079187084,0.020153804382747723,0.018007318907896173,0.009082847295864888,0.9998378708172169,0.9996757679203057
21,0.024721222924537052,-1.9360626632451934,-1.9452605194123505,10.678963211115722,1.4811070439586516,0.04597160039098196,0.042062644068804465,0.018974287865424582,0.9991153706319552,0.9982315238330293
22,0.0225699099085718,-1.9627672252463115,-1.9460909933834099,-16.025598790002427,0.6506330728992538,0.03609412675730388,0.03361281415004169,0.012568217982275845,0.9994350931870764,0.99887050549386
23,0.018400186677401963,-1.9417343758457133,-1.9460756316820385,5.007250610595815,0.6659947742706507,0.04011377291972996,0.03494370084871594,0.01942764115892607,0.9993894700100541,0.9987793127669767
24,0.030432144593192472,-1.9393892741912298,-1.9439194430851214,7.352352265079354,2.82218337118767,0.06581356659041236,0.05990364812220474,0.02846902184831782,0.9982057947531742,0.996414808678816
25,0.03328417009826972,-1.9327624854170098,-1.9439035318006967,13.979141039299314,2.8380946556123554,0.06474145256488327,0.06446140421492005,0.008913072492132017,0.9979224833686429,0.9958492828126393
26,0.025933759048991478,-1.9204275770094725,-1.9429109642579443,26.314049446836574,3.8306621983648093,0.07570348768401616,0.07095003016604043,0.028669942941171003,0.9974832373570048,0.9949728088082108
27,0.023244295614047613,-1.9375050073626936,-1.9461603819140596,9.236619093615506,0.5812445422495038,0.036024430158598755,0.029187059165076575,0.02129804251568672,0.9995740590078287,0.9991482994413862
28,0.02798521277311322,-1.9649190663122706,-1.945603992129883,-18.17743985596154,1.1376343264259958,0.04425933567238081,0.04125493726546568,0.01574006683594448,0.9991491582690202,0.9982990404696915
29,0.026699650529413053,-1.944800819089788,-1.9459973522002938,1.9408073665210246,0.7442742560153093,0.031681939063985066,0.029152425518968048,0.01215491735883055,0.9995750823666278,0.9991503452882509
30,0.021296700774109476,-1.950024726959264,-1.946624507227632,-3.2831005029549942,0.11711922867707614,0.02014698732576263,0.0148964437383445,0.013612044675580574,0.9998890508858499,0.9997781140814057
31,0.023478716668970147,-1.9282453254149414,-1.9448678022816466,18.49630104136768,1.8738241746625306,0.05131482790203321,0.050004405415800604,0.012961547448125152,0.9987498282136756,0.9975012193568465
32,0.02848154381563977,-1.9495466205601255,-1.9418862079353352,-2.804994103816405,4.855418520973931,0.07491075636451246,0.07409633487105853,0.0091896934796543,0.9972557299816905,0.9945189909813145
33,0.03483451956883078,-1.9423691979757025,-1.943563070359266,4.372428480606594,3.178556097043206,0.06281891954235216,0.06249782182862582,0.006936492359254747,0.9980470364995067,0.9960978870654476
34,0.021696513495730346,-1.950671856511643,-1.9463449981296692,-3.930230055333883,0.3966283266398918,0.033479945773273165,0.02712191214544182,0.01985569672033697,0.9996322027756441,0.9992645408260865
35,0.02232008722443563,-1.9396413481057089,-1.945942926036987,7.100278350600231,0.7987004193221736,0.033766099694228176,0.03292731937061715,0.007388938083378442,0.9994578976045471,0.9989160890841012
36,0.029694478629208945,-1.8862631645918804,-1.9454388287704358,60.47846186442874,1.3027976858732693,0.061845368175607485,0.04324950989697205,0.044002206015721516,0.9990647664392706,0.9981304075403542
37,0.01570683438676019,-1.9428349180135964,-1.946446607230979,3.906708442712681,0.2950192253301509,0.020726055661293586,0.02014024004979826,0.004998484995476111,0.9997971887369935,0.9995944186063954
38,0.02507209795617597,-1.923139221735686,-1.945222901750329,23.602404720623138,1.5187247059800235,0.0483688317373812,0.04637143973534343,0.014736926689442478,0.9989249409655085,0.9978510376829447
39,0.03345130756744353,-1.9521000000981295,-1.9462328967541935,-5.3583736418203465,0.5087297021155734,0.0318562581463986,0.028518962132079852,0.01380603897756339,0.9995933360322397,0.999186837440062
40,0.029561777065105037,-1.952770722200272,-1.9434347466899984,-6.02909574396282,3.306879766310722,0.07502633952178449,0.06458250351667896,0.03760517326445927,0.9979150475166105,0.9958344420600791
41,0.02125822526766205,-1.9189354453059344,-1.9457453726737504,27.806181150374698,0.9962537825587425,0.04811448182146414,0.03764490641268776,0.030153480284205968,0.9992914743810357,0.9985834507706242
42,0.02138555288222107,-1.9231115232137956,-1.945965665648916,23.630103242513467,0.7759608073931723,0.04301156439157054,0.03440862959834209,0.025573897361372146,0.9994080407261172,0.9988164318680164
43,0.0366509828302265,-1.924598113545571,-1.9432063459192361,22.143512910738128,3.535280537072971,0.07798079424280092,0.07564618310894596,0.020226253935170423,0.9971388641076522,0.9942859143138988
44,0.022483245848049345,-1.9547520258372864,-1.946468559854263,-8.010399380977251,0.27306660204606814,0.02312337984007424,0.02159659937962845,0.00809069961437196,0.9997667940850359,0.9995336425550705
45,0.01998271902251043,-1.9018029247301274,-1.946240146672732,44.93870172618175,0.5014797835771745,0.04585529116389733,0.031582562769944034,0.03307589359715013,0.9995013047663885,0.9990028582297131
46,0.028528181746467308,-1.9244905441839915,-1.9454759019561487,22.251082272317646,1.2657245001603812,0.04241717353273242,0.039585442135276545,0.01569625401966973,0.9992165114137775,0.9984336366819199
