bootstrap_index,raw_energy_hartree,projected_energy_hartree,raw_energy_error_millihartree,projected_energy_error_millihartree,raw_gamma_frobenius_error,projected_gamma_frobenius_error
0.0,-1.116694806782987,-1.116586123601099,-0.010419697646035786,0.09826348424191167,0.009333809511662223,0.009333199709168686
1.0,-1.1166845808400487,-1.1166825596139036,-0.00019375470783344895,0.0018274714372878975,0.0012727922061355668,0.0012727906596963277
2.0,-1.116702910992267,-1.116509715980985,-0.018523906926137812,0.17467110435598343,0.012445079348883004,0.012443634017599514
3.0,-1.116691622986484,-1.1166161455563817,-0.007235901143154422,0.06824152895923419,0.007778174593052226,0.007777821685957921
4.0,-1.116686685829472,-1.1166627062331256,-0.0022987441310462486,0.021680852215322233,0.004384062043356347,0.004383998848670829
5.0,-1.1166844253578754,-1.1166840261025532,-3.8272534474970143e-05,0.0003609827876616123,0.0005656854249489794,0.0005656852891844476
6.0,-1.1166876617791144,-1.116653501875251,-0.0032746937734806636,0.03088521008987044,0.005232590180780229,0.0052324827333409644
7.0,-1.1166844731985446,-1.1166835748746062,-8.611320367890585e-05,0.0008122107346686391,0.0008485281374241168,0.0008485276792194471
8.0,-1.1166848559238938,-1.1166799650724801,-0.0004688385528694994,0.004422012860771929,0.0019798989873220756,0.0019798931664486603
9.0,-1.1166845808400487,-1.1166825596139036,-0.00019375470783344895,0.0018274714372878975,0.001272792206136038,0.0012727906596967987
10.0,-1.1166851621041736,-1.1166770772582368,-0.0007750188326660634,0.007309827104062805,0.0025455844122718404,0.002545572040835175
11.0,-1.1166849994458996,-1.116678611406515,-0.0006123605587049497,0.005775678825870045,0.002262741699797213,0.0022627330109266453
12.0,-1.1166908551437507,-1.1166233864077681,-0.006468058409758726,0.0610006775727534,0.007353910524339834,0.007353612270562702
13.0,-1.1166849994458996,-1.116678611406515,-0.0006123605587049497,0.005775678825870045,0.002262741699797213,0.0022627330109266453
14.0,-1.1167102593189817,-1.1164404496973699,-0.02587223364081126,0.24393738797101605,0.014707821048679941,0.014705435518310855
15.0,-1.1166868365275788,-1.116661284955796,-0.002449442237928423,0.023102129544927408,0.0045254833995936414,0.004525413890007469
16.0,-1.1166957755565283,-1.1165769889691313,-0.011388471187423477,0.1073981162096338,0.009758073580374145,0.009757376793247159
17.0,-1.1166849994458996,-1.116678611406515,-0.0006123605587049497,0.005775678825870045,0.0022627416997967422,0.0022627330109261743
18.0,-1.11669713423152,-1.1165641783411768,-0.012747146179048485,0.12020874416407423,0.010323759005323792,0.010322933889235346
19.0,-1.1166848559238938,-1.1166799650724801,-0.0004688385528694994,0.004422012860771929,0.0019798989873220756,0.0019798931664486603
20.0,-1.1166892309530478,-1.1166387032314313,-0.004843867706938454,0.04568385390957275,0.00636396103067913,0.006363767735474296
21.0,-1.1167024923864157,-1.116513662237054,-0.018105301074822222,0.17072484828695167,0.01230365799264571,0.012302261369911777
22.0,-1.1166846765213863,-1.116681657162478,-0.00028943604535314194,0.0027299228628763217,0.0015556349186101547,0.0015556320951416631
23.0,-1.11669713423152,-1.1165641783411768,-0.012747146179048485,0.12020874416407423,0.010323759005323792,0.010322933889235346
24.0,-1.1166896710872,-1.1166345525074148,-0.00528400185917377,0.049834577926066714,0.006646803743153796,0.006646583513879207
25.0,-1.1166858821062378,-1.116670286478736,-0.0014950208968578238,0.01410060660500534,0.003535533905932466,0.003535500760837278
26.0,-1.1166860040999427,-1.1166691358949157,-0.0016170146017735476,0.015251190425225047,0.0036769552621703093,0.0036769179784950107
27.0,-1.1166846765213863,-1.116681657162478,-0.00028943604535314194,0.0027299228628763217,0.0015556349186101547,0.0015556320951416631
28.0,-1.1166845042949785,-1.1166832815767602,-0.00011720963755124103,0.0011055085806788156,0.0009899494936609398,0.0009899487660489212
29.0,-1.1166844253578754,-1.1166840261025537,-3.8272534474970143e-05,0.0003609827872175231,0.0005656854249494505,0.0005656852891849185
30.0,-1.1166886066323207,-1.11664459102971,-0.004219546979822297,0.03979605563086963,0.0059396969619667376,0.005939539804746718
31.0,-1.1166863987854598,-1.1166654134443954,-0.002011700118931259,0.018973640945496584,0.00410121933088223,0.00410116759512436
32.0,-1.116688408093546,-1.1166464634159432,-0.004021008205068455,0.0379236693976992,0.0057982756057294435,0.005798129408558621
33.0,-1.116686130877715,-1.1166679401942678,-0.0017437923740537542,0.016446891073051972,0.0038183766184076034,0.0038183348652455077
34.0,-1.116700471118163,-1.11653271765785,-0.016084032822050176,0.15166942749100798,0.011596551211459593,0.011595381786431602
35.0,-1.1166862624395542,-1.1166666993772636,-0.0018753542132543544,0.017687708077307462,0.003959797974644936,0.003959751408363841
36.0,-1.1166882143388377,-1.1166482906943287,-0.0038272534967909166,0.03609639101220807,0.005656854249492149,0.005656718490601543
37.0,-1.1166862624395542,-1.1166666993772636,-0.0018753542132543544,0.017687708077307462,0.003959797974644936,0.003959751408363841
38.0,-1.1166918885021948,-1.1166136417462815,-0.007501416853905596,0.07074533905937486,0.007919595949289598,0.00791922344167385
39.0,-1.116688408093546,-1.1166464634159432,-0.004021008205068455,0.0379236693976992,0.0057982756057294435,0.005798129408558621
40.0,-1.1166852506094105,-1.1166762425039796,-0.0008635240695831214,0.008144581361335668,0.002687005768508663,0.0026869912185080755
41.0,-1.1166844253578754,-1.1166840261025532,-3.8272534474970143e-05,0.0003609827876616123,0.0005656854249489794,0.0005656852891844476
42.0,-1.116686685829472,-1.1166627062331256,-0.0022987441310462486,0.021680852215322233,0.004384062043356347,0.004383998848670829
43.0,-1.1166863987854598,-1.1166654134443954,-0.002011700118931259,0.018973640945496584,0.004101219330881759,0.004101167595123889
44.0,-1.1166903671689297,-1.1166279881500825,-0.005980083588763563,0.05639893525843931,0.007071067811865717,0.007070802663946689
45.0,-1.1166852506094105,-1.1166762425039796,-0.0008635240695831214,0.008144581361335668,0.002687005768508663,0.0026869912185080755
46.0,-1.1166855448295236,-1.1166734675247558,-0.0011577441827448354,0.010919560585076482,0.003111269837220545,0.003111247249683857
47.0,-1.1166857648965998,-1.1166713919452724,-0.0013778112588624936,0.012995140068472466,0.003394112549695172,0.003394083224999144
48.0,-1.116706432065485,-1.1164765241341916,-0.022044980144020343,0.20786295114927356,0.013576450198781512,0.013574573837012518
49.0,-1.1166862624395542,-1.1166666993772636,-0.0018753542132543544,0.017687708077307462,0.003959797974644936,0.003959751408363841
50.0,-1.116736076535854,-1.1161972045575084,-0.051689450513148216,0.48718252783253035,0.02078893936688429,0.02078220470317934
51.0,-1.1166846262886838,-1.1166821309491795,-0.00023920334291105405,0.0022561361614492625,0.0014142135623728608,0.0014142114410579138
52.0,-1.1166961080491755,-1.1165738539295171,-0.011720963834616072,0.11053315582376655,0.00989949493661191,0.009898767415824098
53.0,-1.1166882143388377,-1.1166482906943287,-0.0038272534967909166,0.03609639101220807,0.005656854249492149,0.005656718490601543
54.0,-1.11669644532589,-1.1165706738108105,-0.01205824054917315,0.11371327453035818,0.010040916292848732,0.010040157147821317
55.0,-1.1166857648965993,-1.116671391945272,-0.0013778112584184043,0.012995140068916555,0.003394112549695643,0.003394083224999615
56.0,-1.1166886066323212,-1.11664459102971,-0.0042195469802663865,0.03979605563086963,0.0059396969619672085,0.005939539804747189
57.0,-1.1166862624395542,-1.1166666993772636,-0.0018753542132543544,0.017687708077307462,0.003959797974644936,0.003959751408363841
58.0,-1.1166850783830036,-1.1166778668925192,-0.000691297662669399,0.006520192821657389,0.0024041630560345073,0.0024041526340654756
59.0,-1.1166848559238938,-1.1166799650724801,-0.0004688385528694994,0.004422012860771929,0.0019798989873225465,0.0019798931664491313
60.0,-1.1166857648965993,-1.116671391945272,-0.0013778112584184043,0.012995140068916555,0.003394112549695643,0.003394083224999615
61.0,-1.1166844731985446,-1.1166835748746062,-8.611320367890585e-05,0.0008122107346686391,0.0008485281374241168,0.0008485276792194471
62.0,-1.116708788218419,-1.1164543153582906,-0.024401133078111314,0.2300717270502517,0.014283556979968021,0.014281371957281202
63.0,-1.1166857648965998,-1.1166713919452724,-0.0013778112588624936,0.012995140068472466,0.003394112549695172,0.003394083224999144
64.0,-1.1166843894773737,-1.1166843645239055,-2.3920327940629704e-06,2.2561435386592166e-05,0.00014142135623752944,0.00014142135411623238
65.0,-1.116725436771132,-1.1162974295083026,-0.04104968579099477,0.3869575770383271,0.018526197667087782,0.01852143085900762
66.0,-1.1166851621041736,-1.1166770772582368,-0.0007750188326660634,0.007309827104062805,0.0025455844122713694,0.002545572040834704
67.0,-1.1166843966534739,-1.1166842968396078,-9.568132952608721e-06,9.024573310867368e-05,0.0002828427124748234,0.00028284269550424995
68.0,-1.1166862624395542,-1.1166666993772636,-0.0018753542132543544,0.017687708077307462,0.003959797974644936,0.003959751408363841
69.0,-1.1166929984057092,-1.1166031755675867,-0.008611320368334674,0.08121151775419833,0.008485281374238813,0.008484823211653114
70.0,-1.1166873173262992,-1.116656750443835,-0.002930240958320951,0.027636641505957016,0.004949747468305562,0.004949656519573966
71.0,-1.1166844731985446,-1.1166835748746062,-8.611320367890585e-05,0.0008122107346686391,0.0008485281374241168,0.0008485276792194471
72.0,-1.116684504294979,-1.1166832815767602,-0.00011720963799533024,0.0011055085806788156,0.0009899494936614107,0.0009899487660493921
73.0,-1.116684791338991,-1.1166805742239139,-0.00040425365011032,0.0038128614270327432,0.001838477631084782,0.0018384729705643137
74.0,-1.116692158801973,-1.1166110928413335,-0.007771716632021253,0.07329424400737139,0.00806101730552642,0.008060624484818039
