shots_per_setting,total_shots_four_settings,projected_energy_error_q025_millihartree,projected_energy_error_median_millihartree,projected_energy_error_q975_millihartree,q975_within_1_kcal_per_mol
1000,4000,0.12724856865232725,0.9524709736694614,3.3143047216723005,False
2000,8000,0.057542651749975526,0.47072508230971977,1.6399516499267182,False
5000,20000,0.028024268377979666,0.19261652749769098,0.6889973549479066,True
10000,40000,0.015482850727543962,0.09761859361234748,0.32254361160914913,True
